,id,lat,lon,rating,country,wait,name,comment,datetime,reviewed,banned,ip,dest_lat,dest_lon,geometry
4466,4467,49.8697605358452,8.6283928155899,4.0,DE,,,"Female, alone. Waited for 45 min, had a sign A5 - A7. Lots of local traffic, you might try and hitch to the A5 first and then find another ride.
",2016-07-27 11:13:25.000000,1,0,,,,POINT (8.6283928155899 49.8697605358452)
4467,4468,48.4196173897275,10.6816077232361,2.0,DE,,,,2006-07-31 00:00:00.000000,1,0,,,,POINT (10.6816077232361 48.4196173897275)
4468,4469,48.1150012198419,11.6131711006165,4.0,DE,,Cighir Victor (Hitchwiki),"Good place to hitchhike to Salzburg Graz and South Europe. If I were to go to Vienna one more time, I'd go to Nurnberg, then Passau and not through Salzburg.",2011-07-24 22:24:34.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4469,4470,48.1150012198419,11.6131711006165,4.0,DE,,,"great place to hike, we waited only 5 minutes ... went to vienna (A8)",2011-09-08 15:56:08.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4470,4471,48.1150012198419,11.6131711006165,4.0,DE,,SuperFreaky (Hitchwiki),"Great place. There is a big bus stop and the cars could stop easily. Only think is, that thera are three lines. So some cars could not stop, because they have only a short time to see you. Next so the spot there is a traffic light, so many drivers see you.",2012-09-11 09:49:05.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4471,4472,48.1150012198419,11.6131711006165,4.0,DE,,,"actually it should be a perfect place, but for some reason, i stood there for 1,5 h. I recommend you to have a big sign (so the guys at the traffic light can see you). Lots of drivers apparently go to Rosenheim, my lift told me, so maybe rather write that on your sign than Salzburg. From there you can continue easily. ",2012-10-14 17:41:41.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4472,4473,48.1150012198419,11.6131711006165,4.0,DE,,,"we stood there more than 1,5 h. we get than a lift to the next gasolinestation in
 holzkirchen",2013-05-30 00:44:28.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4473,4474,48.1150012198419,11.6131711006165,4.0,DE,,Kidp3 (Hitchwiki),"Waited about 2hr30 mins with a ""Vienna"" sign on a Thursday afternoon. A few minutes after I started using a ""Rosenheim"", I got a ride to Salzburg.",2013-10-18 12:22:19.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4474,4475,48.1150012198419,11.6131711006165,4.0,DE,,Hagnesta (Hitchwiki),"two guys, Waited 1h with a Salzburg Sign on 21.Dec, Sat. got a ride to a big Gas station near Rosenheim.",2014-01-01 20:46:43.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4475,4476,48.1150012198419,11.6131711006165,4.0,DE,,,"We stood there about 2hr 
than we get a lift to the next gasolinestation and there we get a lift after 5 minuter",2014-02-12 17:03:01.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4476,4477,48.1150012198419,11.6131711006165,4.0,DE,,,"Basicaly good spot, because cars see you and have space to stop. We were two people (m+w), and waited 1h30min on a Sunday morning with very low traffic. First used a Salzburg sign, then switched to a Rosenheim sign, which seemed to work better. ",2014-02-13 23:39:49.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4477,4478,48.1150012198419,11.6131711006165,4.0,DE,,Arno Nuem (Hitchwiki),I live near salzburg and always when i want to get home from munich i use this spot. i think its a great spot. people are waiting at the traffic lights and see you long before they pass by you and when they do they are relatively slow. most of the times im not waiting longer than 15/30 minutes to get a ride,2014-03-07 22:37:49.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4478,4479,48.1150012198419,11.6131711006165,4.0,DE,,Yooks (Hitchwiki),"This spot has been categorized as an ""official hitchhiking spot"" by Tramprennen.org. In my opinion it's a good spot and very easy to reach with public transportation. Take the U-Bahn line U2 to ""Karl-Preis-Platz"" then walk a few minutes to reach the spot.",2015-02-26 05:58:00.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
4479,4480,48.1150012198419,11.6131711006165,4.0,DE,,Gustavobretz (Hitchwiki),perfect place! Got on a ride to the first gas station on the Autobahn and from there it was easy to to to Hungary!,2015-05-12 12:25:10.000000,1,0,,,,POINT (11.6131711006165 48.1150012198419)
